title,url,sqm,rooms,state,elevator,price
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056861/,0.0,82.0,new,True,416000.0
"Piso en venta en Urb. Pj Passatge Olivé i Maristany Nº 4, El Poblenou",https://www.idealista.com/inmueble/91056860/,0.0,76.0,new,True,433000.0
Piso en venta en calle de Marià Aguiló,https://www.idealista.com/inmueble/90908564/,58.0,3.0,second_hand,False,230000.0
"Piso en venta en Passatge de Saladrigas, 4",https://www.idealista.com/inmueble/91008726/,59.0,2.0,second_hand,True,421000.0
"Piso en venta en calle de Pujades, 186 -190",https://www.idealista.com/inmueble/85997551/,74.0,2.0,second_hand,True,470000.0
Piso en venta en Bilbao,https://www.idealista.com/inmueble/91321058/,192.0,3.0,second_hand,True,690000.0
Piso en venta en calle de Roc Boronat,https://www.idealista.com/inmueble/91350662/,52.0,3.0,second_hand,False,180000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91248229/,80.0,4.0,need_renovation,False,320000.0
"Piso en venta en calle de Pujades, 236",https://www.idealista.com/inmueble/91001369/,65.0,3.0,second_hand,True,275000.0
"Piso en venta en calle de Bilbao, 110",https://www.idealista.com/inmueble/87057330/,159.0,3.0,second_hand,True,690000.0
"Piso en venta en paseo de Taulat, 179",https://www.idealista.com/inmueble/85325780/,0.0,115.0,new,True,633000.0
"Piso en venta en paseo de Taulat, 179",https://www.idealista.com/inmueble/85325779/,0.0,113.0,new,True,705000.0
Ático en venta en camino Antic de València,https://www.idealista.com/inmueble/91045073/,100.0,4.0,second_hand,True,620000.0
Dúplex en venta en El Poblenou,https://www.idealista.com/inmueble/89015974/,108.0,3.0,second_hand,True,725000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/88887241/,91.0,2.0,second_hand,False,390000.0
Ático en venta en avenida Diagonal,https://www.idealista.com/inmueble/91262478/,54.0,2.0,need_renovation,True,340000.0
"Piso en venta en calle Pallars, 286",https://www.idealista.com/inmueble/83420956/,0.0,63.0,new,True,394000.0
Piso en venta en calle del Taulat,https://www.idealista.com/inmueble/89612602/,53.0,3.0,second_hand,False,200000.0
"Piso en venta en Passatge de Saladrigas, 4",https://www.idealista.com/inmueble/88774847/,158.0,3.0,second_hand,True,727000.0
"Piso en venta en Passatge de Saladrigas, 4",https://www.idealista.com/inmueble/85322260/,63.0,2.0,second_hand,True,421000.0
"Piso en venta en Passatge de Saladrigas, 4",https://www.idealista.com/inmueble/88774846/,96.0,3.0,second_hand,True,631000.0
"Ático en venta en Passatge de Saladrigas, 4",https://www.idealista.com/inmueble/85322244/,129.0,4.0,second_hand,True,681000.0
"Piso en venta en Passatge de Saladrigas, 4",https://www.idealista.com/inmueble/85634808/,85.0,2.0,second_hand,True,525000.0
"Piso en venta en Passatge de Saladrigas, 4",https://www.idealista.com/inmueble/85634788/,62.0,2.0,second_hand,True,423000.0
Piso en venta en calle de Lope de Vega,https://www.idealista.com/inmueble/90888011/,121.0,3.0,second_hand,True,565000.0
Piso en venta en avenida Diagonal,https://www.idealista.com/inmueble/91220687/,60.0,2.0,second_hand,True,390000.0
Piso en venta en calle de Marià Aguiló,https://www.idealista.com/inmueble/91010355/,63.0,3.0,second_hand,False,230000.0
Piso en venta en calle de Bac de Roda,https://www.idealista.com/inmueble/90555317/,117.0,3.0,second_hand,True,530000.0
